filename,expected_result,backward_exists,forward_exists,forward_unwd_exists,boundaries_exists,num_conditions,num_loops,boundaries_res,boundaries_time,cosyn_res,cosyn_time,cvc5_res,cvc5_time,cvc5old_res,cvc5old_time,sketch_res,sketch_time,sketch_error,expected_result,backward_exists,forward_exists,forward_unwd_exists,boundaries_exists,num_conditions,num_loops,boundaries-G1_res,boundaries-G1_time,cosyn-G1_res,cosyn-G1_time,cvc5-G1_res,cvc5-G1_time,cvc5old-G1_res,cvc5old-G1_time,sketch-G1_res,sketch-G1_time,sketch_error
/crafted/4-A-synthesis_realizable.c,realizable,yes,yes,yes,yes,1," 0",realizable,0.009,realizable,0.039,realizable,0.054,realizable,1.139,realizable,0.893,,realizable,yes,yes,yes,yes,1," 0",realizable,0.027,realizable,0.037,realizable,0.057,realizable,7.047,realizable,1.350,
/crafted/array_positive_sum_v1_loop_realizable.c,realizable,yes,yes,yes,no,1," 3",error,error,unknown,3600.076,unknown,3600.011,unknown,3600.008,unknown,3600.002,,realizable,yes,yes,yes,no,1," 3",error,error,unknown,3600.284,unknown,3600.005,unknown,3600.004,unknown,3600.002,
/crafted/array_positive_sum_v2_loop_unrealizable.c,unrealizable,yes,yes,yes,no,1," 3",error,error,unrealizable,0.581,unknown,3600.009,unknown,3600.009,unknown,1.480,sketch not resolved error:   unsatisfiable assertion assert at array_p..izable.sk:56 (2),unrealizable,yes,yes,yes,no,1," 3",error,error,unrealizable,0.545,unknown,3600.003,unknown,3600.012,unknown,1.660,sketch not resolved error:   unsatisfiable assertion assert at array_p..izable.sk:56 (2)
/crafted/bat_bug3_realizable.c,realizable,yes,yes,yes,yes,2," 0",realizable,0.020,realizable,0.033,realizable,0.025,realizable,0.924,realizable,0.820,,realizable,yes,yes,yes,yes,2," 0",realizable,0.016,realizable,0.038,realizable,0.015,realizable,0.457,realizable,0.858,
/crafted/bat_bug4_realizable.c,realizable,yes,yes,yes,yes,1," 0",realizable,0.019,realizable,0.032,realizable,0.034,realizable,1.198,realizable,0.824,,realizable,yes,yes,yes,yes,1," 0",realizable,0.014,realizable,0.033,realizable,0.035,realizable,0.730,realizable,0.755,
/crafted/bat_bug_loop5_realizable.c,realizable,yes,yes,yes,yes,2," 1",realizable,0.026,realizable,0.010,realizable,0.018,realizable,0.029,unknown,0.350,sketchsolverexception: break statement not yet supported bat_bug..izable.sk:36[0m,realizable,yes,yes,yes,yes,2," 1",realizable,0.028,realizable,0.011,realizable,0.037,realizable,0.067,unknown,0.336,sketchsolverexception: break statement not yet supported bat_bug..izable.sk:36[0m
/crafted/bat_bug_loop_example_realizable.c,realizable,yes,yes,yes,yes,1," 1",realizable,0.007,realizable,0.041,realizable,524.527,unknown,3600.013,unknown,1.428,sketch not resolved error:   unsatisfiable assertion bat_bug..izable.sk:20: this loop was unrolled 8 times but apparently that was not enough. use the --bnd-unroll-amnt flag for better results.,realizable,yes,yes,yes,yes,1," 1",realizable,0.011,realizable,0.043,realizable,150.951,unknown,3600.009,unknown,1.541,sketch not resolved error:   unsatisfiable assertion bat_bug..izable.sk:20: this loop was unrolled 8 times but apparently that was not enough. use the --bnd-unroll-amnt flag for better results.
/crafted/bat_bug_loop_v1_realizable.c,realizable,yes,yes,yes,yes,1," 1",realizable,0.009,realizable,0.056,realizable,0.244,unknown,3600.009,unknown,1.506,sketch not resolved error:   unsatisfiable assertion bat_bug..izable.sk:24: this loop was unrolled 8 times but apparently that was not enough. use the --bnd-unroll-amnt flag for better results.,realizable,yes,yes,yes,yes,1," 1",realizable,0.010,realizable,0.044,realizable,1.240,unknown,3600.013,unknown,1.589,sketch not resolved error:   unsatisfiable assertion bat_bug..izable.sk:24: this loop was unrolled 8 times but apparently that was not enough. use the --bnd-unroll-amnt flag for better results.
/crafted/bat_bug_loop_v2_realizable.c,realizable,yes,yes,yes,yes,1," 1",realizable,0.008,realizable,0.050,realizable,1465.808,unknown,3600.008,unknown,1.430,sketch not resolved error:   unsatisfiable assertion bat_bug..izable.sk:24: this loop was unrolled 8 times but apparently that was not enough. use the --bnd-unroll-amnt flag for better results.,realizable,yes,yes,yes,yes,1," 1",realizable,0.012,realizable,0.053,unknown,3600.006,unknown,3600.006,unknown,1.483,sketch not resolved error:   unsatisfiable assertion bat_bug..izable.sk:24: this loop was unrolled 8 times but apparently that was not enough. use the --bnd-unroll-amnt flag for better results.
/crafted/bat_bug_loop_yakir_realizable.c,realizable,yes,yes,yes,yes,1," 1",realizable,0.009,realizable,0.082,realizable,0.250,unknown,3600.005,unknown,0.305,sketchsolverexception: break statement not yet supported bat_bug..izable.sk:40[0m,realizable,yes,yes,yes,yes,1," 1",realizable,0.254,realizable,0.050,realizable,0.856,unknown,3600.010,unknown,0.271,sketchsolverexception: break statement not yet supported bat_bug..izable.sk:40[0m
