filename,expected_result,backward_exists,forward_exists,forward_unwd_exists,boundaries_exists,num_conditions,num_loops,boundaries_res,boundaries_time,cosyn_res,cosyn_time,cvc5_res,cvc5_time,cvc5old_res,cvc5old_time,sketch_res,sketch_time,sketch_error
/crafted/4-A-synthesis_realizable.c,realizable,yes,yes,yes,yes,1, 0,realizable,0.027,realizable,0.037,realizable,0.057,realizable,7.047,realizable,1.350,
/crafted/array_positive_sum_v1_loop_realizable.c,realizable,yes,yes,yes,no,1, 3,error,error,unknown,3600.284,unknown,3600.005,unknown,3600.004,unknown,3600.002,
/crafted/array_positive_sum_v2_loop_unrealizable.c,unrealizable,yes,yes,yes,no,1, 3,error,error,unrealizable,0.545,unknown,3600.003,unknown,3600.012,unknown,1.660,sketch not resolved error:   unsatisfiable assertion assert at array_p..izable.sk:56 (2)
/crafted/bat_bug3_realizable.c,realizable,yes,yes,yes,yes,2, 0,realizable,0.016,realizable,0.038,realizable,0.015,realizable,0.457,realizable,0.858,
/crafted/bat_bug4_realizable.c,realizable,yes,yes,yes,yes,1, 0,realizable,0.014,realizable,0.033,realizable,0.035,realizable,0.730,realizable,0.755,
/crafted/bat_bug_loop5_realizable.c,realizable,yes,yes,yes,yes,2, 1,realizable,0.028,realizable,0.011,realizable,0.037,realizable,0.067,unknown,0.336,sketchsolverexception: break statement not yet supported bat_bug..izable.sk:36[0m
/crafted/bat_bug_loop_example_realizable.c,realizable,yes,yes,yes,yes,1, 1,realizable,0.011,realizable,0.043,realizable,150.951,unknown,3600.009,unknown,1.541,sketch not resolved error:   unsatisfiable assertion bat_bug..izable.sk:20: this loop was unrolled 8 times but apparently that was not enough. use the --bnd-unroll-amnt flag for better results.
/crafted/bat_bug_loop_v1_realizable.c,realizable,yes,yes,yes,yes,1, 1,realizable,0.010,realizable,0.044,realizable,1.240,unknown,3600.013,unknown,1.589,sketch not resolved error:   unsatisfiable assertion bat_bug..izable.sk:24: this loop was unrolled 8 times but apparently that was not enough. use the --bnd-unroll-amnt flag for better results.
/crafted/bat_bug_loop_v2_realizable.c,realizable,yes,yes,yes,yes,1, 1,realizable,0.012,realizable,0.053,unknown,3600.006,unknown,3600.006,unknown,1.483,sketch not resolved error:   unsatisfiable assertion bat_bug..izable.sk:24: this loop was unrolled 8 times but apparently that was not enough. use the --bnd-unroll-amnt flag for better results.
/crafted/bat_bug_loop_yakir_realizable.c,realizable,yes,yes,yes,yes,1, 1,realizable,0.254,realizable,0.050,realizable,0.856,unknown,3600.010,unknown,0.271,sketchsolverexception: break statement not yet supported bat_bug..izable.sk:40[0m
/crafted/bat_bug_v1_realizable.c,realizable,yes,yes,yes,yes,1, 0,realizable,0.011,realizable,0.033,realizable,0.033,realizable,0.567,realizable,0.818,
/crafted/bat_bug_v2_realizable.c,realizable,yes,yes,yes,yes,1, 0,realizable,0.012,realizable,0.027,realizable,0.024,realizable,0.344,realizable,0.751,
/crafted/binary_search_synthesis_v1_realizable.c,realizable,yes,yes,yes,yes,2, 4,realizable,0.021,realizable,0.659,unknown,3600.011,unknown,3600.008,unknown,3095.960,sketch not resolved error:
/crafted/binary_search_synthesis_v2_realizable.c,realizable,yes,yes,yes,yes,1, 4,unknown,3600.423,realizable,0.681,unknown,3600.004,unknown,3600.010,unknown,1312.705,sketch not resolved error:
/crafted/binary_search_synthesis_v3_unrealizable.c,unrealizable,yes,yes,yes,no,2, 4,error,error,unrealizable,0.075,unknown,3600.009,unknown,3600.010,unknown,1.535,sketch not resolved error:   unsatisfiable assertion assert at binary_..izable.sk:21 (2)
/crafted/bubble_max_sort_v1_realizable.c,realizable,yes,yes,yes,no,4, 7,error,error,unknown,3600.066,unknown,3600.005,unknown,3600.008,unknown,0.225,sketchsolverexception: break statement not yet supported bubble_..izable.sk:60[0m
