filename,expected_result,backward_exists,forward_exists,num_conditions,num_loops,sketch_res,sketch_time,sketch_error
/crafted/4-A-synthesis_realizable.c,realizable,yes,yes,1, 0,realizable,0m0.588s,,
/crafted/array_positive_sum_v1_loop_realizable.c,realizable,yes,yes,1, 3,unknown,60m0.004s,,
/crafted/array_positive_sum_v2_loop_unrealizable.c,unrealizable,yes,yes,1, 3,unknown,0m1.456s,sketch not resolved error:   unsatisfiable assertion assert at array_p..izable.sk:56 (2),
/crafted/bat_bug3_realizable.c,realizable,yes,yes,2, 0,realizable,0m0.582s,,
/crafted/bat_bug4_realizable.c,realizable,yes,yes,1, 0,realizable,0m1.023s,,
/crafted/bat_bug_loop5_realizable.c,realizable,yes,yes,2, 1,unknown,0m0.233s,sketchsolverexception: break statement not yet supported bat_bug..izable.sk:36[0m,
/crafted/bat_bug_loop_example_realizable.c,realizable,yes,yes,1, 1,unknown,0m1.415s,sketch not resolved error:   unsatisfiable assertion bat_bug..izable.sk:20: this loop was unrolled 8 times but apparently that was not enough. use the --bnd-unroll-amnt flag for better results.,
/crafted/bat_bug_loop_v1_realizable.c,realizable,yes,yes,1, 1,unknown,0m1.415s,sketch not resolved error:   unsatisfiable assertion bat_bug..izable.sk:24: this loop was unrolled 8 times but apparently that was not enough. use the --bnd-unroll-amnt flag for better results.,
/crafted/bat_bug_loop_v2_realizable.c,realizable,yes,yes,1, 1,unknown,0m1.441s,sketch not resolved error:   unsatisfiable assertion bat_bug..izable.sk:24: this loop was unrolled 8 times but apparently that was not enough. use the --bnd-unroll-amnt flag for better results.,
/crafted/bat_bug_loop_yakir_realizable.c,realizable,yes,yes,1, 1,unknown,0m0.228s,sketchsolverexception: break statement not yet supported bat_bug..izable.sk:40[0m,
/crafted/bat_bug_v1_realizable.c,realizable,yes,yes,1, 0,realizable,0m1.062s,,
/crafted/bat_bug_v2_realizable.c,realizable,yes,yes,1, 0,realizable,0m0.465s,,
/crafted/binary_search_synthesis_v1_realizable.c,realizable,yes,yes,2, 4,unknown,60m0.002s,,
/crafted/binary_search_synthesis_v2_realizable.c,realizable,yes,yes,1, 4,unknown,26m7.673s,sketch not resolved error:,
